,trope,length,Romance,Comedy,Action,Adventure,Horror,Thriller,Crime,Drama,History,Mystery,War,Science Fiction,TV Movie,Fantasy,Music,Family,Documentary,Western,Animation
15602,TrailerJokeDecay,43,5,28,18,21,2,1,6,2,0,1,0,9,0,12,1,6,0,0,1
15603,TranslatorMicrobes,25,0,6,17,17,0,2,0,5,1,0,0,20,0,5,0,4,1,0,1
15604,Trekkie,7,2,5,2,4,0,2,0,1,0,1,0,3,0,0,0,0,0,0,0
15605,TryAndFollow,25,2,7,16,13,0,9,2,6,1,2,1,9,0,2,0,1,0,2,0
15606,TwoFacedAside,10,1,5,4,4,1,2,1,1,0,0,0,3,0,1,0,2,0,0,0
15607,UnCanceled,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15608,UniversalTranslator,14,0,6,8,11,0,0,0,1,0,0,0,14,0,2,0,3,0,0,1
15609,UnpredictableResults,3,0,2,1,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
15610,VerbalWeakness,3,0,2,0,2,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0
15611,WasItAllALie,32,11,20,7,7,2,7,4,13,1,3,0,5,1,2,0,3,1,0,0
15612,WasntThatFun,26,3,10,12,15,0,4,3,5,0,2,2,7,0,6,3,5,0,0,0
15613,WhatKindOfLamePowerIsHeartAnyway,22,3,9,14,15,0,1,1,3,1,1,1,9,1,10,1,3,0,0,0
15614,WhatMeasureIsAHumanoid,2,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
15615,WhereNoParodyHasGoneBefore,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15616,WheresTheKaboom,25,1,8,13,8,1,2,4,9,3,0,6,5,0,2,0,1,1,1,1
15617,WidescreenShot,25,5,7,8,11,1,3,1,6,3,0,3,9,0,3,1,3,0,2,1
15618,WithinParameters,2,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
15619,WoobieSpecies,2,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
15620,WronskiFeint,29,1,4,23,18,0,7,1,4,1,1,2,18,0,2,0,1,1,0,1
15621,YouCanAlwaysTellALiar,10,4,4,3,3,0,2,2,5,0,0,1,1,0,0,0,0,0,0,0
15622,YouJustRuinedTheShot,15,2,10,5,4,2,3,2,5,0,1,0,3,0,1,1,0,0,1,0
15623,YouLeaveHimAlone,10,0,4,4,3,2,2,1,2,0,0,0,3,0,2,0,2,0,0,0
15624,YourSecretsSafeWithMeSuperman,25,3,11,8,8,1,2,1,9,2,1,2,6,0,4,0,3,0,1,0
15625,DarkMessiah,39,1,3,19,17,10,10,4,9,0,2,0,15,0,6,0,0,1,0,0
15626,FlashBackEcho,13,2,5,3,2,1,6,3,5,0,0,0,3,0,0,1,1,0,1,0
15627,SuddenSequelHeelSyndrome,13,0,2,9,7,3,5,0,3,0,0,0,11,0,1,0,0,0,0,0
15628, JapaneseFilms,2,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0
15629,ArabOilSheikh,13,1,8,5,3,0,4,1,1,0,0,0,0,0,0,0,2,1,0,0
15630,BeardOfBarbarism,7,0,1,0,3,0,1,0,2,0,1,0,0,0,2,0,1,2,1,0
15631,GoodOlBoy,19,4,10,3,3,3,2,2,8,0,2,0,1,0,0,1,1,1,2,0
15632,GottaKillEmAll,19,1,5,9,4,3,5,5,2,0,1,0,5,1,2,0,0,1,2,0
15633,Kingdom,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15634,TheKingdom,3,0,0,2,2,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
15635,ArmyOfThievesAndWhores,17,2,3,7,6,2,2,2,7,1,1,5,3,0,0,1,1,1,2,0
15636,BelarusianMedia,2,0,0,1,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0
15637,DoomEdhometown,16,0,1,12,9,0,2,0,3,1,0,1,9,0,3,0,0,0,2,0
15638,DumbStruck,22,1,3,2,2,8,6,1,8,1,6,4,2,1,5,2,1,1,1,0
15639,FeelingOppressedbyTheirExistence,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
15640,GuiltRiddenAccomplice,11,1,0,4,0,1,7,9,6,0,1,1,1,0,0,0,0,0,0,0
15641,HeroicBSoD,7,0,1,2,2,1,1,0,4,1,0,2,0,1,1,1,2,0,0,0
15642,PrematurelyGreyHaired,8,1,0,0,0,5,2,1,5,1,1,1,0,0,0,0,0,0,0,0
15643,SmittenTeenageGirl,13,4,7,0,4,0,1,1,7,0,1,1,1,1,2,0,1,0,2,0
15644,SwampsAreEvil,20,1,2,5,11,10,3,0,3,0,0,1,6,1,7,0,5,0,0,0
15645,TheEnemyWeaponsAreBetter,4,0,0,3,1,0,1,0,2,1,0,2,2,0,0,0,0,0,0,0
15646,YoungFaceOldEyes,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
15647,BourgeoisBohemian,37,9,18,0,2,2,4,5,26,2,3,0,1,0,2,0,1,0,0,0
15648,DotingGrandparent,3,0,1,1,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0
15649,GrayAndGrayMorality,25,2,4,8,7,3,4,3,18,1,1,4,1,0,3,0,2,0,0,0
15650,HippieParents,16,5,11,0,2,1,0,0,6,2,0,0,1,0,3,1,1,1,0,1
15651,IAmNotMyFather,17,2,5,5,5,0,4,3,11,0,0,0,3,0,2,1,1,0,1,0
15652,InitiationCeremony,22,0,6,4,4,7,7,4,10,0,3,0,1,1,1,1,0,1,1,0
15653,MundaneObjectAmazement,14,3,8,2,5,0,0,0,7,0,0,0,1,0,5,1,2,0,0,1
15654,NotHelpingYourCase,50,4,20,14,8,4,15,10,23,4,8,1,10,2,4,0,4,1,0,1
15655,QuirkyHousehold,5,2,3,1,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0
15656,TheHermit,25,1,9,7,11,7,4,2,8,0,1,1,7,1,3,0,3,1,0,0
15657, AfterSchoolCleaningDuty,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
15658,HighSchool,30,6,15,1,3,5,3,2,16,0,5,0,4,3,2,3,4,0,0,0
15659,OneGenderSchool,31,6,10,2,1,4,3,1,18,0,5,1,2,0,3,1,3,2,0,0
15660, AccidentalKiss,5,1,5,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
15661,ExplodingCloset,9,1,5,0,2,1,1,0,2,0,0,0,0,0,3,1,6,0,0,1
15662,Fiction500,35,5,13,17,16,1,8,1,9,0,3,1,11,2,4,2,4,1,0,0
15663,FoodFight,30,8,23,2,4,3,2,1,7,0,0,1,1,1,2,1,6,0,1,0
15664,JawDrop,26,3,16,6,10,2,0,1,7,1,0,2,4,1,5,2,8,1,2,1
15665,Ojou,6,3,1,0,0,0,1,0,4,1,1,1,1,0,0,0,0,0,0,0
15666,PairingTheSpares,26,12,23,4,2,0,1,1,6,0,0,0,0,1,3,2,1,0,1,0
15667,PrivilegedRival,9,4,5,2,1,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0
15668,RefrigeratorAmbush,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15669,TheStateroomSketch,5,3,5,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
15670,SplitPersonalityTakeover,24,2,4,5,3,12,11,2,3,0,6,0,8,0,1,0,0,1,0,1
15671,Wendigo,15,0,1,2,3,12,6,0,2,0,3,0,0,0,0,1,0,0,3,0
15672, AncientConspiracy,2,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
15673,BrotherhoodOfFunnyHats,10,1,7,0,0,1,1,0,6,2,1,0,0,0,1,0,0,0,0,0
15674,ChurchGoingVillain,21,1,5,6,2,2,9,11,12,3,2,0,2,0,1,1,0,0,0,0
15675,ChurchgoingVillain,28,2,7,8,3,2,9,15,15,3,2,1,3,1,1,1,0,1,0,0
15676,DefectorFromCommieLand,13,2,2,8,7,0,6,2,5,2,1,2,2,0,0,1,0,0,0,0
15677,FontAnachronism,16,7,6,2,1,1,2,3,13,4,1,2,1,0,1,1,0,0,0,0
15678,TheGoodShepherd,6,0,2,1,0,0,2,0,3,2,0,1,1,0,0,0,0,0,1,0
15679,TruthSerums,30,5,12,17,13,1,5,4,4,1,1,0,7,0,6,0,4,0,0,0
15680, ChosenConceptionPartner,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15681,LeapAndFire,30,1,4,25,3,0,13,17,4,0,0,0,3,0,0,0,0,0,0,0
15682,FightClubbing,30,3,8,20,7,0,5,9,14,0,2,1,3,0,3,0,0,0,0,0
15683, BadLiar,4,1,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
15684,PaidForFamily,5,1,4,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
15685, AfterlifeBureaucracy,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
15686,DestinationHostUnreachable,2,1,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0
15687,DontLookBack,8,2,1,3,2,0,0,1,5,2,0,1,1,0,2,1,0,0,0,0
15688,MagicMirror,27,4,5,7,12,6,3,1,7,0,3,0,2,2,18,0,9,0,0,1
15689,RewindGag,17,4,7,4,3,1,1,2,5,1,2,1,3,1,3,0,2,1,0,1
15690,YearInsideHourOutside,28,3,5,11,10,5,2,1,6,0,3,1,7,2,12,0,6,1,0,2
15691,AttendingYourOwnFuneral,18,4,10,5,3,2,2,1,7,0,1,0,5,0,2,1,0,0,0,0
15692,BangsianFantasy,17,5,9,1,3,7,4,0,6,0,5,1,2,1,8,0,1,0,0,1
15693,DeadToBeginWith,27,7,13,4,5,10,7,0,10,1,6,1,6,1,14,0,3,0,0,2
15694,DeaderThanDead,39,1,8,20,12,16,6,3,4,0,2,1,11,0,15,0,4,0,1,2
15695,DismantledMacGuffin,20,1,6,11,10,1,3,2,3,0,2,0,8,0,3,0,2,0,1,1
15696,DismantledMacguffin,11,1,3,5,5,1,2,1,2,0,1,0,3,0,2,0,1,0,0,1
15697,GrapplingHookPistol,43,2,10,32,23,3,12,6,6,1,2,0,15,0,3,0,3,0,0,0
15698,HollywoodNewEngland,47,2,21,3,8,2,10,9,22,3,8,1,2,1,7,2,4,1,0,2
15699,OldTimeyAnkleTaboo,6,1,4,1,1,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0
15700,PerceptionFilter,13,2,4,7,3,2,3,1,2,0,1,0,3,0,4,0,0,0,0,0
15701,PointlessDoomsdayDevice,4,0,2,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0
15702,PolarityReversal,17,1,9,6,8,1,2,0,2,1,0,0,6,0,3,0,4,0,0,1
15703,PowersThatBe,10,3,3,2,2,0,4,1,5,0,1,0,4,0,2,0,0,0,0,0
15704,ReversePolarity,22,1,10,9,9,3,3,1,2,1,0,0,11,0,3,0,4,0,0,1
15705,ReverseThePolarity,20,1,10,8,9,1,2,0,2,1,0,0,7,0,4,0,5,0,0,1
15706,SunnydaleSyndrome,17,1,9,7,4,4,5,1,3,0,2,0,5,0,3,0,1,0,0,0
15707,TheGodsMustBeLazy,8,0,2,5,2,4,2,0,2,0,0,0,1,0,6,0,0,0,0,0
15708,WalkingTechBane,10,0,1,6,6,1,4,0,2,0,0,0,6,0,0,0,0,0,0,0
15709,WalkingTechbane,14,0,2,7,6,2,4,0,2,0,0,0,6,0,0,0,1,0,0,1
15710,WalkingWasteland,16,1,3,8,5,7,2,0,2,0,2,0,3,0,8,1,2,0,0,1
15711,WhoDunItToMe,11,1,6,3,1,4,5,3,1,0,4,0,2,0,6,0,0,0,0,1
15712,WhoDunnitToMe,11,1,6,3,1,4,5,3,1,0,4,0,2,0,6,0,0,0,0,1
15713,WhodunnitToMe,11,1,6,3,1,4,5,3,1,0,4,0,2,0,6,0,0,0,0,1
15714,CallingYourBathroomBreaks,16,4,9,6,2,2,4,5,6,0,1,0,3,0,1,1,0,0,0,0
15715,CosmeticCatastrophe,8,4,5,1,0,1,3,2,4,0,0,0,0,0,0,0,0,0,0,0
15716,DeliberatelyCuteChild,15,0,4,3,3,7,4,4,5,1,2,1,3,0,1,1,2,0,0,0
15717,DuelsDecideEverything,8,0,3,4,1,0,1,2,2,1,0,1,2,0,2,1,0,0,0,0
15718,Hustler,10,3,6,0,0,0,1,3,10,0,0,0,0,0,0,1,0,0,0,0
15719,LadyLooksLikeADude,27,5,15,8,4,0,8,9,9,1,1,1,0,0,1,1,2,2,1,0
15720,LadyLookslikeADude,12,2,6,4,2,0,5,6,5,0,1,1,0,0,0,0,1,0,0,0
15721,LittleMissConArtist,10,1,7,2,2,1,1,3,3,0,0,0,1,0,1,0,4,0,0,0
15722,MouthyKid,27,3,16,5,5,3,4,3,12,2,2,0,4,0,2,3,5,0,0,0
15723,QuickChange,5,0,2,1,1,0,2,4,5,0,0,0,0,0,0,0,0,0,0,0
15724,RandomSmokingScene,11,1,4,2,3,2,3,1,5,1,0,0,2,0,0,1,1,1,0,0
15725,ScammingTheBereaved,6,2,4,0,1,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0
15726,ShortCon,10,0,5,2,1,0,0,7,7,0,0,2,1,0,0,0,0,0,1,0
15727,WorkOffTheDebt,20,7,11,5,2,0,2,5,8,1,1,0,1,0,0,1,3,0,0,0
15728,WorkingOffTheDebt,9,4,8,1,1,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0
15729,Eyedscreen,13,0,1,9,7,1,0,2,3,0,1,0,5,0,3,0,2,0,1,1
15730,ImprobableChopsticksSkill,5,0,0,5,1,0,0,1,3,0,0,0,0,0,0,0,3,0,0,0
15731,PiggybackCute,3,1,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
15732,SnakePit,12,0,2,7,8,2,4,1,1,0,1,1,2,0,0,0,0,0,1,0
15733,TerribleTrio,43,5,16,16,12,7,7,7,12,1,3,1,11,1,10,3,9,0,3,2
15734,AfterActionPatchUp,23,1,1,16,7,0,8,5,6,2,0,1,5,0,3,0,0,0,1,0
15735,AfterActionPatchup,20,1,1,13,8,2,8,3,5,3,0,1,5,0,3,0,0,0,0,0
15736,BitPartBadGuy,12,0,2,10,5,0,3,6,2,1,2,0,5,0,2,0,2,0,0,0
15737,BitPartBadGuys,14,0,2,11,5,1,4,7,3,1,2,0,5,0,2,0,2,0,0,0
15738,BitPartBadguys,12,0,2,10,5,0,3,6,2,1,2,0,5,0,2,0,2,0,0,0
15739,BlindAndTheBeast,16,1,3,2,1,8,4,3,5,1,0,0,5,0,2,1,1,0,0,0
15740,ChurchOfSaintGenericus,12,0,4,3,3,3,3,2,5,1,0,0,2,0,5,1,1,0,0,0
15741,CollateralDamage,18,1,4,8,4,2,6,7,4,2,2,1,3,0,0,0,2,0,0,1
15742,DeathByFlashback,4,0,0,1,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0
15743,DelusionsOfDoghood,9,2,7,1,1,0,1,1,3,1,1,0,1,0,1,0,0,0,1,0
15744,GunFu,26,1,4,20,7,2,15,11,4,1,1,0,4,0,5,0,0,0,0,0
15745,GunpointBanter,12,0,2,7,4,0,6,5,2,1,2,0,2,0,1,0,0,1,0,0
15746,Handler,3,0,1,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0
15747,HealItWithFire,24,0,0,17,8,5,9,3,8,2,2,1,6,0,5,0,1,0,1,0
15748,LoveAtFirstNote,9,6,5,1,1,0,0,1,8,1,0,0,0,2,1,2,4,0,0,0
15749,LowlyCriminal,12,0,2,10,5,0,3,6,2,1,2,0,5,0,2,0,2,0,0,0
15750,McLeod,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
15751,PreferJailToTheProtagonist,4,1,2,1,0,0,1,2,2,1,0,0,0,0,0,0,2,0,0,1
15752,SanctuaryOfSolitude,7,1,1,2,1,2,1,3,5,1,1,0,0,0,0,1,2,0,0,0
15753,SwivelChairAntics,4,1,1,1,1,0,1,3,2,1,0,0,1,0,1,0,0,0,0,0
15754,TearsofRemorse,13,1,2,5,7,0,1,1,5,2,0,0,4,0,2,0,2,0,0,0
15755,TheHandler,15,1,3,10,2,1,7,8,5,1,2,0,1,0,2,0,0,0,0,0
15756,TwoShotsFromBehindTheBar,26,1,3,14,5,6,13,11,8,1,2,1,3,0,1,0,0,0,4,0
15757,TwoShotsFromBehindThebar,18,1,3,9,2,4,8,7,7,1,1,1,1,0,1,0,0,0,3,0
15758, Acrofatic,20,5,13,9,4,0,1,3,2,1,1,1,3,0,3,2,1,0,0,2
15759,BandagedFace,15,1,1,5,4,3,7,3,5,0,4,1,4,0,0,0,0,0,0,0
15760,JoinsToFitIn,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15761,PointAndLaughShow,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
15762,RecurringDreams,14,1,3,5,4,3,1,1,6,0,1,0,6,0,2,0,0,0,0,0
15763,SexDrugsAndRockAndRoll,44,7,20,4,5,2,3,3,26,2,1,0,3,0,3,18,2,1,1,0
15764,TheYardies,9,0,4,5,0,0,1,4,2,0,0,0,3,0,0,0,0,0,0,0
15765,VolleyingInsults,25,5,18,6,5,5,3,2,7,0,1,0,5,0,2,0,6,0,1,0
15766,YouAndWhatArmy,15,0,4,7,9,1,2,1,5,1,0,0,2,0,5,0,4,0,0,0
15767,DefenestrateAndBerate,7,5,5,2,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0
15768,NewJackSwing,12,3,4,1,1,2,2,4,8,0,0,0,0,0,0,1,1,0,0,0
15769,RaceFetish,15,6,4,3,0,0,2,4,11,0,0,0,0,0,1,1,0,0,1,0
15770,SleepingWithTheBoss,34,14,17,5,5,1,7,5,18,0,2,0,4,0,0,1,1,0,1,1
15771,AgeInappropriateArt,14,4,8,1,0,0,0,2,10,0,1,0,0,0,3,0,1,0,0,1
15772,ConsultingMisterPuppet,7,0,4,4,3,2,2,1,0,0,0,0,3,0,0,1,1,0,0,0
15773,PhotosLie,6,0,2,1,1,2,1,0,1,0,0,0,1,0,1,0,0,0,0,1
15774,SweetTooth,43,4,17,11,13,5,9,4,20,3,3,1,9,1,5,2,7,0,3,0
15775,Ventriloquism,12,1,7,1,0,2,2,1,2,0,0,0,2,1,1,0,0,0,0,0
15776,CantRefuseTheCallAnymore,8,0,3,5,5,0,2,1,1,1,0,0,3,0,2,0,1,0,0,0
15777,ElevenOClockNumber,32,12,21,1,5,2,0,0,10,1,0,0,3,3,12,9,11,0,0,0
15778,EvilAunt,18,1,4,5,6,5,6,0,1,0,0,0,1,1,6,0,3,0,1,0
15779,ObsessionSong,7,3,2,3,4,0,3,0,3,0,0,0,0,0,2,1,1,0,0,0
15780,PirateBooty,10,1,2,6,9,1,1,1,0,1,0,0,1,1,5,0,1,0,0,1
15781, FatBastard,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15782,FriendlyPirate,2,0,1,2,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
15783,TheMutiny,35,7,3,10,17,3,4,0,16,11,1,10,3,0,4,0,0,2,1,0
15784,YoungAndInCharge,7,0,1,3,4,0,0,0,4,1,0,3,1,0,1,0,0,0,0,0
15785,BrandX,45,6,27,9,7,8,12,9,10,1,3,1,11,1,8,2,5,0,0,0
15786,EnragedByIdiocy,6,0,3,2,2,0,1,2,3,0,0,0,2,0,1,0,1,0,0,0
15787,FWB,7,3,3,1,1,0,2,1,4,0,1,0,1,0,1,0,0,0,0,0
15788,FoodAsBribe,16,1,9,5,3,2,1,1,4,2,2,2,4,0,2,0,2,1,0,1
15789,FriendWithBenefits,7,3,3,1,1,0,2,1,4,0,1,0,1,0,1,0,0,0,0,0
15790,FwB,7,3,3,1,1,0,2,1,4,0,1,0,1,0,1,0,0,0,0,0
15791,HowDidThatGetInThere,7,0,5,0,1,1,1,3,2,0,0,0,3,0,1,0,1,0,0,1
15792,HugeGunTinyGirl,11,0,2,6,3,4,7,3,2,0,2,0,4,0,1,0,0,0,1,0
15793,OffingTheAnnoyance,17,0,3,10,6,2,5,3,4,0,2,1,4,1,4,0,2,0,0,0
15794,SexyStewardess,26,2,11,11,9,4,9,6,9,0,0,0,6,1,1,0,0,0,0,0
15795,SideQuel,15,0,0,9,8,2,4,3,4,0,1,0,8,0,1,0,0,0,0,0
15796,SillyRabbitRomanceIsForKids,12,7,2,3,3,0,2,2,9,0,0,0,2,0,1,1,1,0,0,0
15797,SimultaneousArcs,21,0,1,12,9,2,7,6,6,0,1,0,10,0,2,1,0,1,0,1
15798,SmallGirlBigGun,25,1,6,18,9,5,10,9,4,0,3,0,8,0,3,0,1,0,1,0
15799,YouUsedToBeBetterSpeech,4,0,0,2,1,1,2,2,1,0,1,0,2,0,0,0,0,0,0,0
15800,BreakInThreat,10,0,1,5,1,1,8,8,7,0,4,0,0,0,0,0,0,0,0,0
15801,EstablishingShot,30,1,9,12,10,5,10,6,10,0,5,0,7,1,3,1,5,0,0,0
15802,KillerCop,39,2,4,12,1,9,25,21,17,0,10,0,3,0,2,0,1,0,0,1
15803,Nepotism,48,7,17,11,11,3,8,8,16,2,2,1,7,1,2,3,5,0,2,0
15804,NeverFoundtheBody,41,2,8,29,16,5,13,6,12,0,2,0,16,0,4,1,1,0,0,0
15805,StopOrIWillShoot,28,0,4,14,5,5,9,9,9,0,3,0,9,0,0,1,0,0,1,0
15806,StrawLoser,10,6,8,1,0,0,1,1,1,0,1,0,1,0,2,1,0,0,0,0
15807,TheLastDJ,31,4,8,9,6,1,7,9,16,1,2,2,5,0,3,3,0,0,0,0
15808,BigOlEyebrows,18,1,6,5,7,3,2,2,6,0,0,0,2,1,6,0,5,0,0,1
15809,Bookworm,18,5,9,3,6,1,1,0,12,1,1,0,1,0,2,1,2,0,1,0
15810,CathedralClimax,16,0,4,4,8,1,4,1,4,0,1,1,5,0,2,0,2,0,0,0
15811,ClockTower,19,0,8,5,10,1,4,2,4,0,1,1,4,1,2,0,4,0,1,0
15812,Clocktower,15,0,4,4,8,1,4,1,3,0,1,1,4,0,2,0,2,0,0,0
15813,ClockworkCreature,14,3,1,3,8,4,1,1,4,0,0,0,1,0,8,0,5,0,0,1
15814,CuteBookworm,16,5,4,4,4,4,3,1,6,0,3,1,2,0,3,1,5,0,0,0
15815,EvenTheSubtitlerIsStumped,9,1,6,1,3,0,0,4,3,0,1,0,2,0,0,1,1,0,0,0
15816,InnocentFlowerGirl,10,6,4,0,3,1,0,0,6,0,0,0,1,0,0,2,1,0,0,0
15817,MinorLivingAlone,10,1,3,0,1,1,1,1,8,0,2,0,0,0,0,1,1,0,0,0
15818,PhotographicMemory,26,4,5,9,3,1,11,6,13,1,4,0,3,0,2,0,2,0,0,0
15819,RailroadEmployeeRoundhouse,5,0,3,2,3,0,1,0,2,0,0,1,0,0,0,0,1,0,1,0
15820,StaggeredZoom,53,7,7,12,9,11,17,8,23,4,3,2,9,0,3,1,3,3,0,0
15821,StockClockHandHang,5,0,2,1,3,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
15822,StopTrick,27,3,10,5,6,4,3,2,5,1,3,0,2,0,7,0,5,1,1,1
15823,StreetUrchin,44,5,6,9,9,4,7,6,26,1,4,4,3,0,5,3,5,3,1,1
15824,SymbolicMutilation,4,0,0,2,3,0,1,1,2,0,0,0,2,0,0,0,1,0,0,0
15825,TheArtfulDodger,10,0,2,2,3,0,2,3,8,0,1,1,0,0,2,1,2,0,0,0
15826,TheUnSmile,17,2,6,8,7,2,4,2,4,0,0,0,8,0,5,0,1,0,0,1
15827, ASinisterClue,7,0,0,0,0,2,3,2,3,0,2,0,0,0,1,0,0,0,1,0
15828,AdaptationalSelfDefense,12,0,0,7,6,0,9,5,4,0,1,0,3,0,3,0,0,0,0,0
15829,CallOnMe,4,0,0,3,3,0,1,1,1,0,0,0,2,0,1,0,0,0,0,0
15830,CementShoes,24,1,10,10,5,2,10,13,8,1,2,1,0,1,3,0,1,0,0,0
15831,CreepyChildrenSinging,28,2,2,2,3,17,10,3,15,2,8,1,2,1,1,0,1,0,0,0
15832,DetectEvil,11,0,3,4,1,5,5,3,3,0,2,0,1,0,2,0,0,0,0,0
15833,DevilInPlainSight,54,6,9,11,7,17,19,13,23,1,9,0,4,1,9,1,3,0,1,0
15834,DracoInLeatherPants,8,1,1,2,0,1,3,3,3,0,0,0,0,0,1,0,1,0,1,0
15835,EgocentricallyReligious,18,0,3,1,1,5,8,4,7,0,3,0,1,0,1,1,1,0,2,0
15836,EvilIsBigger,27,2,9,13,9,8,7,2,6,1,1,1,12,0,2,0,3,0,0,2
15837,FanaticalFire,2,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
15838,HastilyHiddenMacGuffin,12,3,6,3,3,1,4,3,2,0,2,0,0,0,1,1,4,0,0,0
15839,ICouldaBeenAContender,46,8,24,8,5,2,5,7,23,1,3,1,3,1,1,5,4,2,1,0
15840,KnuckleTattoos,18,0,9,4,4,3,3,6,6,0,0,1,3,0,3,1,1,0,0,0
15841,LieBackAndThinkOfEngland,24,3,2,4,6,4,8,6,16,4,1,0,2,1,2,0,0,0,1,0
15842,MosesInTheBulRushes,12,0,4,7,4,0,1,1,3,1,0,0,1,1,6,0,0,0,1,0
15843,MosesInTheBullrushes,14,0,5,7,5,0,1,1,3,1,0,0,1,1,6,0,0,0,2,0
15844,MosesInTheBulrushes,19,2,7,11,7,0,2,1,6,1,0,1,4,1,8,0,1,0,1,2
15845,RonTheDeathEater,12,1,4,6,9,0,1,1,1,0,0,0,5,1,3,1,3,0,0,0
15846,SleepingWithTheFishes,17,0,5,7,4,1,7,10,4,1,1,1,0,1,2,0,0,0,0,0
15847,SmugglingWithDolls,5,0,0,2,1,0,3,4,4,0,0,0,1,0,0,0,0,0,0,0
15848,StageMoney,3,0,2,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0
15849,StockParodies,4,0,0,2,1,0,1,1,2,0,0,1,1,0,0,0,0,1,0,0
15850,TheExecutioner,4,0,1,1,1,0,1,3,2,0,0,0,1,0,1,0,0,0,0,0
15851,ThinkingOutLoud,20,3,7,6,6,3,6,3,7,0,1,0,3,0,4,0,1,0,1,1
15852,TopheavyGuy,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
15853,YouAreNotMyFather,23,2,8,10,12,3,2,4,6,0,0,0,9,0,3,0,4,0,1,0
15854,YoureNotMyFather,39,5,11,12,13,7,4,5,16,0,0,0,12,1,4,0,3,0,0,0
15855,YoureNotMyMother,23,3,7,10,10,4,2,3,6,0,0,0,11,0,2,0,3,0,0,0
15856, ADeathInTheLimelight,8,0,1,4,6,1,1,1,0,0,1,0,4,0,3,0,1,0,0,0
15857,AdaptationalLateAppearance,20,1,4,11,15,0,3,0,2,0,1,2,8,0,6,0,0,1,0,0
15858,AdaptationalSkimpiness,9,1,2,2,5,1,1,0,2,0,1,0,1,0,5,0,0,0,0,0
15859,AshFace,32,3,24,2,9,6,2,2,3,0,0,0,2,0,10,4,11,0,0,5
15860,BathroomBrawl,19,1,6,16,9,0,9,5,3,0,1,0,3,0,2,0,0,0,0,0
15861,Bathroombrawl,18,1,5,16,9,0,9,4,3,0,1,0,2,0,2,0,0,0,0,0
15862,BreadEggsBreadedeggs,2,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
15863,CagedBirdMetaphor,11,3,3,0,1,2,3,0,8,2,1,1,2,0,1,0,0,0,0,0
15864,CondensationClue,12,1,1,5,4,4,6,1,2,0,4,0,1,0,2,0,0,0,0,0
