Trope,Description,Inverted?/Defied?,Averted/Subverted?,Rough Occurence in movie,Background?,Setups?,Start Time,End Time,Total Time
Poor Communication Kills," Zigzagged when Gandalf realizes Gollum's followed them into Moria. He doesn't inform anyone else in the Fellowship for 3 days (likely because, given what else was down in Moria, an insane former Ringbearer was the least of their problems). If Frodo hadn’t spotted Gollum by chance and reported it, the Fellowship would’ve remained unaware they were being trailed (since Gandalf would have taken that knowledge with him when he falls into the chasm ). But because Frodo sounded the alarm, Aragorn’s now vigilant in the Extended Editon (and hoped they’d lose Gollum on the Anduin River). Frodo and Sam are also likewise now on their guard after they split off at the end of this film and this vigilance allows them to capture Gollum at the beginning of the next film .",,,,,,,,
Portal Statue Pairs," The Argonath, also known as the Gate of Kings or the Pillars of the Kings, was a landmark on the northern edge of Gondor in representing two of the earliest kings of Gondor.",,,,,,,,
Power Echoes," Gandalf's voice gets deep and echoes when he declares: "" BILBO BAGGINS — DO NOT TAKE ME FOR SOME CONJUROR OF CHEAP TRICKS!! I AM NOT TRYING TO ROB YOU! "" Also: "" YOU... SHALL NOT... PASS!!! ''"" Heard when Saruman is chanting the spell to ""bring down the mountain"" on the Fellowship in the Pass of Caradhras.",,,,,,,,
Power Glows," When Galadriel enters her wraith-like form, she emits a powerful white glow.",,,,,,,,
Pragmatic Adaptation, The removal of Tom Bombadil.,,,,,,,,
Pragmatic Villainy," Implied with Gollum when he’s following the Fellowship in Moria, then makes it out of the Mines and stays on their tail down the Anduin in the Extended Edition. Despite having Frodo in his sight, Gollum makes no move to reclaim his Precious in this film. The subtext is that even Gollum knows that trying to take the Ring from Frodo while he’s surrounded and protected by armed bodyguards is a bad idea. Gollum won’t make his play for the Ring until The Two Two Towers after Frodo is separated from the Fellowship at Amon Hen.",,,,,,,,
The Precarious Ledge," The Fellowships must traverse a narrow ledge at The Pass of Caradhras through the snow, even as Saruman tries to bring them down with his foul chanting.",,,,,,,,
Precision F-Strike," Implied when Gimli gets irritated with Haldir speaking Elvish with Aragorn and feeling left out of the convesation. Gimli shoots off an insult in Elvish, and whatever he said leaves Haldir fuming and Aragorn both embarrassed and pissed that the Dwarf is making his already-delicate negotiations even more difficult.",,,,,,,,
Pre-Explosion Glow," In the prologue, when his finger gets cut off, Sauron starts glowing from the inside before blowing up.",,,,,,,,
Prophecy Twist," Played with in the extended version. When Aragorn tells Frodo about the Story of Lúthien, who gave up her immortality to live a mortal life with the man she loved, Frodo asks him how it turned out. To which Aragorn simply replies ""She died.""",,,,,,,,
Punch! Punch! Punch! Uh Oh...," Hobbits attacking a cave troll should have this effect, but the scene is hardly played for laughs.",,,,,,,,
Punctuality Is for Peasants," When Gandalf the Grey meets up with Frodo Baggins on the way to attend the birthday party being thrown for Frodo's uncle Bilbo Baggins, Frodo accuses the wizard of being late, to which Gandalf retorts that he arrived when he planned to. Subverted and Played for Laughs , as Gandalf, who is a close friend of the Baggins, actually arrived just as the party was being set up, and both Frodo and Gandalf quickly break into laughter at the quip. Frodo: You're late! Gandalf: A wizard is never late, Frodo Baggins. Nor is he early, he arrives precisely when he means to!",,,,,,,,
Punctuated!  For!  Emphasis!," ""You! Shall Not! Pass!"" . Then the bridge practically broke in half.",,,,,,,,
Pull Yourself Down the Spear," When Aragorn stabs Lurtz in the stomach, the Uruk-hai responds by pulling the sword inwards, snarling at Aragorn, possibly to get close enough to hurt him. Aragorn pulls the sword out and chops off Lurtz's head .",,,,,,,,
Radial Ass Kicking," The Balrog chases them off before the fight actually happens but in the Mines of Moria, the Fellowship finds itself completely surrounded by a really absurd number of goblins.",,,,,,,,
Rain of Arrows," The prologue sequence shows the Battle of Dagorlad, where the combined armies of the Elves and Númenóreans rain arrows down on the orcs of Mordor before Sauron himself takes to the field.",,,,,,,,
Rasputinian Death," Even after being shot with 3 arrows, Boromir puts up a fight before dying.",,,,,,,,
Reality Has No Subtitles," Depending on the circumstances, non-Common dialogue may or may not be subtitled. A notable example is Elrond shouting orders to his troops at the battle on Mount Doom.",,,,,,,,
Redemption Equals Death," Boromir's famous death scene happened right after he attacked Frodo, tried to take the ring from him, and cursed him along with ""all the halflings"". What was he doing during his death scene? Defending two of these ""Halflings"" with his life.",,,,,,,,
Red Filter of Doom," The filter is red owing to a fiery demon, the Balrog.",,,,,,,,
Reluctant Gift," The One Ring has this effect on its bearers. Bilbo Baggins has to be prompted into giving it up when Gandalf tells him, ""The Ring is still in your pocket.""",,,,,,,,
Reports of My Death Were Greatly Exaggerated, Sauron is Not Really Dead.,,,,,,,,
Reveal Shot," We open with a shot of a dark menacing tower in Mordor, apparently Barad-dûr, home of Sauron. Then the camera pulls back... and back... and back... until we are able to get a full view of the ungodly immense, dozens of times larger and infinitely more menacing tower that is the true Barad-dûr, revealing the initial tower we saw as one of the hundreds of (relatively) tiny lookout towers spaced around Barad-dûr's outer wall.",,,,,,,,
Ridiculously Difficult Route," Whether passing over (Caradhras) or under (Moria), the Misty Mountains is this trope for the Fellowship.",,,,,,,,
Roaring Rampage of Revenge," Merry and Pippin do this twice. When the cave-troll seems to have killed Frodo, they share a look and then leap onto its back, stabbing it repeatedly. (Their small blades affect it little, but Pippin is able to time one final strike so that it rears its head back and allow Legolas to deliver the fatal shot through the throat). The second comes after Boromir falls to his knees for the last time—Merry raises his sword and screams, followed by Pippin, and they rush the Uruk-hai—only to be effortlessly grabbed and carried away.",,,,,,,,
Rookie Red Ranger," The Hobbits as a whole serve at this, especially during their initial flight to Rivendell. They are clearly scared but also don't come even close to grasping how serious a situation they are in, with Aragorn even scoffing at Frodo that he is not nearly scared enough for how serious the situation is - although Frodo does learn much faster then the others. Exemplified by Frodo waking up because the other Hobbits seem to think they are just on a fun camping trip and lit a campfire to cook a nice hot meal on a peak that can be seen for dozens of miles while they are being hunted. And being very annoyed at Frodo frantically putting the fire out and calling them fools ... until two seconds later when the Nazgûl make it clear Frodo had every right be to somewhat alarmed at their decision making...",,,,,,,,
Role-Playing Game 'Verse," An Unbuilt Trope . The book series itself predates role-playing games like D&D and in fact codified many High Fantasy tropes. However, after the Fellowship is formed and before it is disbanded, the plot and characters would fit right into an RPG verse: a party that includes a wizard, an elf, a dwarf, a knight, and a ranger set out on a dangerous journey to destroy an Artifact of Doom , facing many typical genre perils like monsters, bands of orcs, and evil sorcerers trying to thwart their progress. The second and third films avert this, being closer to epic war movies.",,,,,,,,
Romantic Ribbing," Downplayed example. In a Film-only scene, Aragorn finds a blade to his throat while looking for althelas, aka, kingsfoil. Then he hears a familiar feminine voice playfully ask: Arwen: What's this; a Ranger caught off his guard?",,,,,,,,
Rule of Symbolism," Christian symbolism is carried over from the books, although in a very discreet manner : When the Fellowship parts from Lothlorien, a white-clad Galadriel makes a blessing gesture ◊ , looking much like Catholic statues of Virgin Mary. They even used a statue of Mary as a stand-in at the tomb of Aragorn's mother. Jackson bows to Tolkien with subtle grace: the film opens in total darkness, and the voice of Cate Blanchett begins to speak... in Elvish. Because with Tolkien the languages came first, and then the people who spoke them, and their stories. In the beginning was the word...",,,,,,,,
Run or Die," The goblin horde in Moria, but especially the Balrog.",,,,,,,,
Sad Battle Music, There are two uses of this trope in the film. The first is when they escape the mines of Moria right after Gandalf falls. The second is when Boromir is slain fighting the orcs.,,,,,,,,
Scare Chord, When Gandalf almost touches the One Ring and senses Sauron in it. When Bilbo sees the Ring around Frodo's neck in Rivendell.,,,,,,,,
Scared of What's Behind You," In Moria, Gimli thinks that the Fellowship is scaring off the orcs, naturally it's the Balrog that they're really reacting to.",,,,,,,,
Scary Impractical Armour," Sauron, and a few other bad guys, wear some pretty intense armour.",,,,,,,,
Scary Symbolic Shapeshifting," Bilbo Baggins is normally a genial old hobbit, and even his many decades of subtle corruption by the One Ring seems to be little more than a blip on the radar by the time he turns up at Rivendell. However, while the Fellowship is preparing to leave Rivendell, he happens to catch sight of the Ring on Frodo — and suddenly lunges wildly at him, sporting sharp teeth and enormous, frenzied-looking eyes. Bilbo demonstrates no shapeshifting at any other point in the story, so this is just an indication that the Ring still has its hooks in him and could one day drag him down to the same level as Gollum .",,,,,,,,
Scene of Wonder," The journey through Moria is mostly dark and depressing, but when they reach Dwarrowdelf, Gandalf considers it worth risking more light to let the Fellowship see the city-sized cave and supporting pillars.",,,,,,,,
Scenery Gorn," The film is made of Scenery Porn during the ""good times"" parts, and Scenery Gorn during the ""struggling times"" parts. The best example is probably the view of the ruination of the Shire in the Mirror of Galadriel note the actual canon Scouring of the Shire was cut from the films, so this was Jackson's way of wedging it in . As Sam and Frodo say in the books, seeing your own home devastated when you remember it being pleasant is far more horrifying than some anonymous landscape that you never knew before it was ruined.",,,,,,,,
Sequel Hook," A particularly nasty yet uplifting one. Immediately following Boromir's fall, Frodo and Sam trudge off on their own path while Merry and Pippin were plucked away by the Uruk-hai in the final battle, leaving Aragorn, Legolas and Gimli to start the hunt to save the latter pair of Hobbits while the former head into Mordor all by themselves. As the establishing part of the trilogy, cue the credits and, at the time of release, waiting until next year or reading the book to see what happened next.",,,,,,,,
Shaping Your Attacks, The Balrog seemingly made his sword and whip out of pure fire. In the book they're simply described as fiery weapons .,,,,,,,,
Shield Bash, The Uruk-Hai captain tried to use his shield against Aragorn in the final battle.,,,,,,,,
Shot/Reverse Shot," The movie gets across Galadriel's ability to see into the Fellowship's mind by cutting between an Extreme Close-Up of her eyes and then a member of the Fellowship. This goes on for each of them until we cut back to her from Frodo's face, when we hear her speaking telepathically into her mind.",,,,,,,,
Shout-Out," To the Ralph Bakshi animated Lord Of The Rings (Mr. Proudfoot the Hobbit with his feet up on the table, and the Nazgûl emerging from the tree as the four Hobbits hide in the roots); to The Wizard of Oz (Frodo, Sam and Gollum, on the cliff above the Black Gate, watch the Easterlings march in with their weird chant note Jackson confirmed this was deliberate ); Shaka Zulu (the pre-Battle Of Helms Deep build-up), Gladiator (Aragorn's dazed horse ride to Helm's Deep; Frodo being carried by the Eagles), and possibly The Wheel of Time ; ""History became legend. Legend became myth "" During the duel between Aragorn and Lurtz, Aragorn stabs Lurtz through the leg with his dagger, and it gets stuck there until Lurtz pulls it out and tosses it back at him. A similar scene happens in Friday the 13th Part III , when Chris attacks Jason with a knife.",,,,,,,,
Ralph Bakshi,"akshi animated Lord Of The Rings (Mr. Proudfoot the Hobbit with his feet up on the table, and the Nazgûl emerging from the tree as the four Hobbits hide in the roots); to The Wizard of Oz (Frodo, Sam and Gollum, on the cliff above the Black Gate, watch the Easterlings march in with their weird chant note Jackson confirmed this was deliberate ); Shaka Zulu (the pre-Battle Of Helms Deep build-up), Gladiator (Aragorn's dazed horse ride to Helm's Deep; Frodo being carried by the Eagles), and possibly The Wheel of Time ; ""History became legend. Legend became myth """,,,,,,,,
Friday the 13th Part III,"agorn and Lurtz, Aragorn stabs Lurtz through the leg with his dagger, and it gets stuck there until Lurtz pulls it out and tosses it back at him. A similar scene happens in Friday the 13th Part III , when Chris attacks Jason with a knife.",,,,,,,,
Shouting Free-for-All," During the Council of Elrond, after the impossibility of the task before them is laid out, the council jumps to to their feet all yelling and shouting at each other, with the exception of Frodo, who sits to the side staring at the One Ring until he gets up and offers to take it to Mordor himself.",,,,,,,,
Simple Solution Won't Work," When Elrond and Frodo reveal the One Ring to the attendees of the Council of Rivendell, Boromir suggests using the Ring against Sauron. Aragorn immediately shoots that down: ""The One Ring answers to Sauron alone. It has no other master."" Elrond subsequently says that the Ring must be destroyed. Gimli promptly takes a swing at it with his battleaxe — and is Blown Across the Room and his axe's blade shattered . Elrond: [bemused] The Ring cannot be destroyed, Gimli, son of Glóin, by any craft that we here possess.",,,,,,,,
Blown Across the Room,"s that the Ring must be destroyed. Gimli promptly takes a swing at it with his battleaxe — and is Blown Across the Room and his axe's blade shattered . Elrond: [bemused] The Ring cannot be destroyed, Gimli, son of Glóin, by any craft that we here possess.",,,,,,,,
Single Tear," After Gandalf dies, Frodo drops a tear. So does Aragorn when Boromir dies; Manly Tears , indeed.",,,,,,,,
Slippery MacGuffin," The One Ring somehow slips away from Frodo in the avalanche on Caradhras. This is physically impossible because the Ring was not in his pocket, but carried on a chain around his neck, and the chain is intact when Boromir picks up the Ring — but the Ring, being magic, does it anyway . It calls to the Nazgûl every time one is near.",,,,,,,,
Slow-Motion Fall," Done with Boromir at the end of the movie. When the first arrow hits him, he staggers and falls slowly to his knees... but, since this is his Dying Moment of Awesome , he stands back up and keeps fighting while the scene remains in slow motion. It's repeated when he's hit by a second arrow, falls, and stands again, but the third arrow finishes it. The scene returns to normal speed when Aragorn crashes into the Uruk-Hai archer.",,,,,,,,
Solemn Ending Theme," Enya's ""May It Be"" , which has a (relatively) hopeful, hymnlike quality.",,,,,,,,
Solo Mission Becomes Group Mission," Despite Frodo insisting to go alone in his mission, Sam ends up going with him: Frodo: Go back, Sam! I'm going to Mordor alone. Sam: Of course you are, and I'm coming with you!",,,,,,,,
Soul Jar," The One Ring. It wasn't actually created for this purpose — the Dark Lord Sauron was already an immortal spirit able to take any form he wished. He created it as an Amplifier Artifact that would make his already formidable Mind Control powers strong enough to take over the other rings (and through them, their wearers). But in making the Ring strong enough to control the other rings he had to put so much of his Life Energy into it that as long as the Ring survives he cannot be completely destroyed either. Frodo: But he was destroyed. Sauron was destroyed. Gandalf: No, Frodo. The spirit of Sauron endured. His life force is bound to the Ring, and the Ring survived. Sauron has returned.",,,,,,,,
Speak Friend and Enter," The Trope Namer, like the book. Gandalf spends hours casting opening spells and trying passwords on the door into Moria. He finally realizes that he mistranslated the inscription on the door: instead of ""Speak, friend, and enter"", it was ""Say 'friend' and enter"". All he had to do was say the elven word for ""friend"" and the door opened. Gandalf read the inscription aloud before, but in the common tongue, not in Elvish. He notes that the doors were made when trade between Moria and neighbouring Eregion was plentiful, and the dwarves of Moria would have little reason to close the gates, especially not to elves. The late third age, however, is far more dangerous, and people are more suspicious. Frodo: It's a riddle. ""Speak friend and enter."" What's the Elvish word for friend? Gandalf: Mellon . [door opens]",,,,,,,,
Stealth Pun," At the Prancing Pony, Merry comes back to the Hobbits' table looking pleased with himself, carrying a mug of ale that dwarfs (*ahem*) the others'. ""This, my friend,"" he tells Pippin, ""is a pint ."" ""They come in pints ?"" asks a bewildered Pippin, before adding, ""I'm getting one."" What were the Hobbits drinking up to that point? Half-pints . Gimli's cousin, Balin, calls Moria, a dwarven mine and his (Balin's) own kingdom, a mine. A mine , get it?",,,,,,,,
Steel Mill," Saruman runs one at the basement of Isengard. The scene was filmed in a real foundry, using real steelworkers using Orc costumes.",,,,,,,,
Stern Chase," The Nazgûl. ""They will never stop hunting you.""",,,,,,,,
Storyboarding the Apocalypse, Galadriel shows Frodo a vision of The Shire as an industrial work camp. In the book it turns out she was bang on; in the following movies Saruman gets shanked early and that side of the conflict ends.,,,,,,,,
"Suicidal ""Gotcha!"""," Gandalf jumps off the top of Isengard and landing on Gwaihir, Lord of the Eagles, who he had previously requested aid from via a passing moth.",,,,,,,,
Supernatural Language," When Gandalf reads the inscription on the One Ring in Black Speech , his voice becomes inhumanely deep, resonant and guttural, and the light seems to recede as he speaks. Frodo and the elven nobility recoil in pain as they hear it.",,,,,,,,
Surprisingly Super-Tough Thing," Gimli, during the Council of Elrond, blithely declares, after Elrond states that the One Ring must be destroyed, ""What are we waiting for!"" and proceeds to try to cut it in half with one of his axes, which promptly shatters, leaving the Ring completely unscathed. Elrond then chastises him for his ignorance.",,,,,,,,
Sword Fight," First, Aragorn fighting the Ringwraiths off with a sword in one hand and a torch in the other. Second, Aragorn fighting the leader of the Uruk-Hai.",,,,,,,,
Symbolic Serene Submersion," At the end of the movie, Sam follows Frodo's boat into the water despite being unable to swim, desperate to remain by his side. When he inevitably goes underwater, he flails at first, but then he goes limp and his face assumes a serene expression, demonstrating his willingness to die for Frodo (who saves him, of course).",,,,,,,,
Tae Kwon Door," When the Nazgûl burst into Bree, the terrified door guard looks through the door, and gets it slammed off its hinges, on top of him.",,,,,,,,
Take a Moment to Catch Your Death," After he watches the Balrog fall through the pit of Khazad-dûm, Gandalf turns away from the lip of the broken bridge. Unfortunately, the Balrog manages to lasso Gandalf's foot as it falls, pulling Gandalf until he is dangling from the lip by his weak grasp. Certain that any attempt to recover would hinder the Fellowship, he bids them to escape the mine and lets go .",,,,,,,,
Take It to the Bridge, Arwen gives the Evenstar to Aragorn on an obviously symbolic bridge.,,,,,,,,
Take My Hand!, Frodo saves Sam from drowning by pulling him up by his wrist.,,,,,,,,
Taking You with Me," There are quite a few examples of this trope in the film: In the prologue, we see Sauron explode once the Ring is severed from his hand. Though this may be subverted as the affected scores of Men and Elves were more likely blown off of their feet than killed. The Balrog pulls Gandalf down the dark chasm with its fiery whip as it falls. Boromir takes down many Uruk-Hai as he is being pierced by Lurtz' arrows.",,,,,,,,
The Team," The Fellowship of the Ring, which was formed for the purpose of destroying the One Ring by going into the deepest parts of Mordor and casting it into the volcanic fires of Mount Doom, where it was originally forged.",,,,,,,,
Technicolor Death," Although it's right in the prologue rather than the end of the movie, death for Sauron basically means becoming the exploding man.",,,,,,,,
Telepathy," Galadriel, Elrond and Gandalf are shown communicating telepathically with each other. Galadriel also speaks to Frodo in his mind in Lothlórien and at various points in his journey to Mordor.",,,,,,,,
Tempting Fate," Played for Laughs . When Sam panics after losing sight of him for a moment, Frodo asks in amusement what could happen while they're still in the Shire. A second later, Merry and Pippin bowl them over.",,,,,,,,
That Was the Last Entry," The dwarven log in the Mines of Moria. ""They have taken the bridge and the second hall. We have barred the gates but cannot hold them for long. The ground shakes, drums... drums in the deep. We cannot get out. A shadow lurks in the dark. We cannot get out... they are coming ."" It's written neatly in dwarven runes except for the last three words, scribbled hastily in Elvish cursive.",,,,,,,,
This Is as Far as I Go," Inverted when The Hero , Frodo, chooses to go on alone into Mordor, although his far more experienced companions would willingly have gone with him. Aragorn: [to Frodo] I would have gone with you to the end. Into the very fires of Mordor. Frodo: I know. Also when the hobbits are leaving the Shire, Samwise stops and says, ""This is it..."" then follows up with, ""If I take one more step, it'll be the farthest away from home I've ever been."" (which inspires the question of how he knew that, given that he was in the middle of a field at the time), and proceeds to stay with Frodo throughout the rest of the story.",,,,,,,,
The Hero,"hen The Hero , Frodo, chooses to go on alone into Mordor, although his far more experienced companions would willingly have gone with him. Aragorn: [to Frodo] I would have gone with you to the end. Into the very fires of Mordor. Frodo: I know.",,,,,,,,
This Is Gonna Suck," ""They have a cave troll.""",,,,,,,,
This Way to Certain Death," The movie makes it clear to the audience (and most of the characters) that something very bad has happened in Moria with skeletons sprawled on the floor everywhere not far from the entrance. Gimli, however, remains steadfast in his denial until confronted with an actual written account of the bloodbath.",,,,,,,,
Throat Light," The Balrog has light pouring out of its gullet. It is also glowing from various cracks in its skin, the implication being that it is simply a giant flame in demonic form cloaked by shadow.",,,,,,,,
Throwing the Distraction," Frodo, Merry, Pippin and Sam are hiding from a black rider (Nazgûl/Ringwraith) under some tree roots. As the rider is peering overhead, and it seems they are close to being discovered, Merry throws his and Pippin's sack of (stolen) vegetables, which gives the four of them enough time to escape the scene.",,,,,,,,
Throwing Your Shield Always Works," Lurtz throws his shield at Aragorn during the skirmish at Amon Hen, pinning him to a tree. Aragorn gets free of the shield just in time to dodge another attack.",,,,,,,,
Throwing Your Sword Always Works," Aragorn throws his sword into an Orc during the battle in Balin's tomb. Gimli carries at least a couple throwing axes, which he uses to kill an Uruk-hai when he joins the fight at Amon Hen. Boromir kills an Uruk-hai with a thrown knife to the throat at the beginning of his Last Stand .",,,,,,,,
Last Stand,s an Uruk-hai with a thrown knife to the throat at the beginning of his Last Stand .,,,,,,,,
Thwarted Coup de Grâce," Lurtz, the head Uruk-Hai, has shot Boromir full of holes and is ready to deliver the killing shot when Aragorn leaps in and kills Lurtz. This gives Boromir enough time to deliver his dying speech. Aragorn is knocked flat by an Uruk getting impaled on (thereby trapping) his sword; Gimli and Legolas arrive before the rest of the orcs can take advantage of the situation. Then Boromir himself pulls a Big Damn Heroes when a group of Uruks charge at Merry and Pippin; one has his axe raised to do Pippin in when Boromir arrives from offscreen to deflect the blow.",,,,,,,,
Big Damn Heroes,d flat by an Uruk getting impaled on (thereby trapping) his sword; Gimli and Legolas arrive before the rest of the orcs can take advantage of the situation. Then Boromir himself pulls a Big Damn Heroes when a group of Uruks charge at Merry and Pippin; one has his axe raised to do Pippin in when Boromir arrives from offscreen to deflect the blow.,,,,,,,,
Tightrope Walking, Legolas goes running along a chain to attack the cave troll.,,,,,,,,
Title Drop," ""You shall be the Fellowship of the Ring ."" The names of chapters from The Hobbit and The Lord of the Rings are brought up on occasion. On entering Hobbiton, Gandalf is delighted to see preparations underway for A Long-Expected Party . When Lobelia Sackville-Baggins comes knocking on the front door of Bag End, Bilbo whispers to Gandalf ""I am not at home !"". Gandalf whispers Riddles in the Dark, as he wonders if that chapter of The Hobbit might not be entirely true. ""There is only one Lord of the Ring , only one who can bend it to his will. And he does not share power!"" When the hobbits fall on each other after being pursued by Farmer Maggot "" A shortcut to what ?"" "" Mushrooms !""",,,,,,,,
The Hobbit," chapters from The Hobbit and The Lord of the Rings are brought up on occasion. On entering Hobbiton, Gandalf is delighted to see preparations underway for A Long-Expected Party . When Lobelia Sackville-Baggins comes knocking on the front door of Bag End, Bilbo whispers to Gandalf ""I am not at home !"". Gandalf whispers Riddles in the Dark, as he wonders if that chapter of The Hobbit might not be entirely true. ""There is only one Lord of the Ring , only one who can bend it to his will. And he does not share power!"" When the hobbits fall on each other after being pursued by Farmer Maggot "" A shortcut to what ?"" "" Mushrooms !""",,,,,,,,
The Hobbit,"pers Riddles in the Dark, as he wonders if that chapter of The Hobbit might not be entirely true.",,,,,,,,
Tragic Hero," Boromir, whose desire to protect his people at all costs makes him easy prey for the power of the Ring.",,,,,,,,
Uncommon Time," The Uruk-Hai theme from Howard Shore's score, heard most prominently in the track ""Amon Hen"" on this film's OST, has 5/4 time. Shore explained that he was aiming to give Saruman's army a mechanical-sounding accompaniment.",,,,,,,,
Undeathly Pallor," In the film commentary, Peter Jackson discusses how Boromir's skin was paled just a little bit at the moment he succumbs to his wounds and dies. The change is so subtle that most viewers might not consciously pick it up, yet still provides his death scene a little extra punch.",,,,,,,,
Unnecessarily Large Interior," The dwarven city of Khazad-dûm seems to consist of huge empty spaces with free-standing stairs on the edges and straight across. The book has mostly corridors and normal-sized rooms, with a few great halls. The giant halls also prove to be a major issue when the dwarves unleash an Eldritch Abomination : the Balrog. The great halls allow it to move about with relative ease, seeing as how it's twenty times bigger than the whole Fellowship put together.",,,,,,,,
Eldritch Abomination,"rove to be a major issue when the dwarves unleash an Eldritch Abomination : the Balrog. The great halls allow it to move about with relative ease, seeing as how it's twenty times bigger than the whole Fellowship put together.",,,,,,,,
Unsafe Haven," Invoked as a shortcut to explain why the One Ring cannot just stay in Rivendell. Throughout the first part of the film the hobbits — and us — are led to believe that ""the Ring will be safe in Rivendell"" — until Elrond tells Gandalf otherwise. This is only in the film as a drama-preserving handicap for the sake of maintaining tension. In the books, and for the attentive viewer , Rivendell is obviously not the final destination...",,,,,,,,
Untouchable Until Tagged," Boromir was on a rip-roaring Orc-slaying binge until a single arrow hits him, which was enough to get him mobbed and killed, although it took another couple of arrows to fully incapacitate him.",,,,,,,,
Vertigo Effect, Used by Peter Jackson when Frodo senses the arrival of the Black Rider in the Shire.,,,,,,,,
Viking Funeral, One of the last scenes shows Boromir's body laid out in a boat and drifting over the waterfall of the Anduin.,,,,,,,,
Voice of the Legion, Galadriel gets a bit of this when she goes off on a tangent while being tempted by the Ring.,,,,,,,,
Wait Here," At Weathertop, Aragorn says he's going to have a look around and for the hobbits to ""stay here."" Naturally it doesn't work out exactly as planned.",,,,,,,,
War Comes Home," Discussed Trope . Near the end of the movie, the Elf queen Galadriel has Frodo stare into a mirror in which he sees his homeland, the Shire invaded by orcs and the hobbits carried off in chains. Galadriel informs him that this is a prophetic vision of what will come to pass if Frodo fails in his mission to destroy the ring.",,,,,,,,
Warts and All," Invoked in Boromir's nighttime argument with Aragorn in the Extended Edition, berating Aragorn for his lack of faith in Men. Boromir: Have you so little faith in your own people? Yes, there is weakness. There is frailty. But there is courage also, and honor to be found in Men. But you will not see that. You are afraid! All your life, you have hidden in the shadows! Scared of who you are, of what you are.",,,,,,,,
War Was Beginning, The movie starts with Galadriel narrating a history lesson about Sauron.,,,,,,,,
Weapon Chooses the Wielder," Explicitly stated during the Council of Elrond referring to the One Ring. Boromir: Give Gondor the weapon of the enemy. Let us use it against him! Aragorn: You cannot wield it, none of us can. The One Ring answers to Sauron alone. It has no other master.",,,,,,,,
Weapon Stomp," King Elendil's sword is shattered when Sauron steps on it. In a subversion of the trope, Isildur uses the shattered blade to cut Sauron's fingers (and thus separated him from the ring).",,,,,,,,
Weapon Twirling, Boromir twirls his sword a few times while waiting for the goblin horde to break into Balin's Tomb in Moria.,,,,,,,,
We ARE Struggling Together," During the Council at Rivendell, no one can agree on anything. Elrond wants to destroy the Ring, Boromir wants to use the Ring to help Gondor, Gimli doesn't trust the elves and it isn't long before everyone starts arguing with each other and even Gandalf is yelling. And it's because the Ring is deliberately sowing distrust and chaos. But as soon as Frodo, despite being terrified and overwhelmed, declares he will take the Ring to Mordor, the one thing that all these seasoned warriors unanimously agree upon is that this little brave hobbit must be protected.",,,,,,,,
We Can Rule Together, Saruman tries this on Gandalf. It doesn't work.,,,,,,,,
We Need a Distraction," When Merry and Pippin realize that Frodo's leaving the Fellowship at Amon Hen, they create a distraction so he can escape.",,,,,,,,
Wham Line," After informing Gandalf that Sauron's forces are on the move and that the Ring-Bearer is in danger, Saruman reveals his true allegiance: Saruman: You did not seriously believe a Hobbit could contest with the will of Sauron? There are none who can .",,,,,,,,
"What the Hell, Hero?"," Legolas and Boromir to Aragorn when he tells everyone to get up and moving after Gandalf's death. Legolas gives Aragorn a look that basically says ""Seriously, dude!?!"" while Boromir says ""Give them a moment, for pity's sake!""",,,,,,,,
Wings Do Nothing," The movie indeed depicts the Balrog with wings. However, they're skeletal, membrane-less wings that are completely useless for flight, explaining why the Balrog simply didn't fly away.",,,,,,,,
Wizard Duel," Gandalf versus Saruman. Does not happen in the book , though he does battle the Witch King (to a draw) on Weathertop in Fellowship of the Ring , seen from afar by the hobbits. Gandalf versus the Balrog is at least implied in the first film. DOES happen in the book in which an exhausted Gandalf states that he put a shutting-spell on the door. In the film the Balrog apparently can't follow them directly and takes another path, rather shaking things up as he does, implying that Gandalf (who does look pretty haggard by then) did something to impede him.",,,,,,,,
Does not happen in the book,"not happen in the book , though he does battle the Witch King (to a draw) on Weathertop in Fellowship of the Ring , seen from afar by the hobbits.",,,,,,,,
DOES happen in the book," is at least implied in the first film. DOES happen in the book in which an exhausted Gandalf states that he put a shutting-spell on the door. In the film the Balrog apparently can't follow them directly and takes another path, rather shaking things up as he does, implying that Gandalf (who does look pretty haggard by then) did something to impede him.",,,,,,,,
Wrongfully Attributed," The now famous line, ""A wizard is never late, nor is he early, he arrives precisely when he means to,"" was first uttered here. Somehow, however, the line keeps being referenced as a genuine quote from the books by casual fans of the 'verse.",,,,,,,,
Your Princess Is in Another Castle!," Frodo and Sam initially think their journey is over after they get the Ring to Rivendell for safekeeping at around halfway through the movie. Unfortunately, Elrond realizes that they cannot keep it there, and Frodo accepts the task of destroying it. Another moment occurs after the council of Elrond, when the Fellowship is formed. The nine stand in a pretty line, Elrond pronounces ""you shall be the Fellowship... of the Ring!"", the theme swells and half the audience start to retrieve coats, finish off drinks and generally make ready to leave. Then find out there's another hour and a half to go. And, in some cases, hadn't realised that even then there were two more films before ring meets lava. Also, Sam thinks his journey is over when the fellowship reaches Redhorn Mountain, which he confuses with Mount Doom. Not that it isn't a mountain of doom by itself.",,,,,,,,
