,Topic,Count,Name,Representation,Representative_Docs
105,104,25,104_steve_nell_crain_money,"['steve', 'nell', 'crain', 'money', 'theo', 'blood', 'shirley', 'fleabag', 'luke', 'haunted']","['steve: h-shirley: WE DONT WANT YOUR FUCKING BLOOD MONEY STEVE! YOUR FUCKING BLOOD MONEY! FUCK YOU! ALL OF MY PROBLEMS IN LIFE ARE BECAUSE OF YOU AND YOUR FUCKING BLOOD MONEY! FUCK!', 'my very scientific ranking of the siblings:1. theo: such a baddie with her little gloves. yes queen. ★★★★★ stars2. nell: has done nothing wrong ever in her life. ★★★★½ stars3. luke: baby. the glasses! ★★★★ stars4. shirley: i wouldn’t take the blood money either girl. ★★★★ stars5. steve: crain. ★ star', 'my very scientific ranking of the siblings:1. theo: such a baddie with her little gloves. yes queen. ★★★★★ stars2. nell: has done nothing wrong ever in her life. ★★★★½ stars3. luke: baby. the glasses! ★★★★ stars4. shirley: i wouldn’t take the blood money either girl. ★★★★ stars5. steve: crain. ★ star']"
106,105,25,105_pacino_al_algaib_lisan,"['pacino', 'al', 'algaib', 'lisan', 'michael', 'kay', 'looooove', 'alabama', 'vito', 'bathroom']","['Al Pacino as Michael Corleone........ I would raw exactly one (1) short man', '*al pacino comes on screen*me: god....it’s me again....', 'i have a thing for al pacino in this movie and i hate myself']"
107,106,25,106_white_yelling_dudes_men,"['white', 'yelling', 'dudes', 'men', 'thrilled', '97', 'favourite', 'hug', 'ignoring', 'arguing']","['I never thought a movie about twelve old white guys yelling at each other in a room would be one of my favourite movies of all time but here we are!', 'I never thought a movie about twelve old white guys yelling at each other in a room would be one of my favourite movies of all time but here we are!', 'I never thought a movie about twelve old white guys yelling at each other in a room would be one of my favourite movies of all time but here we are!']"
108,107,25,107_bald_austin_butler_kiss,"['bald', 'austin', 'butler', 'kiss', 'uncleaw', 'megamind', 'moisturised', 'nephew', 'lips', 'kissing']","[""austin butler is so bald. i've never seen anyone be so bald in my life. so moisturised and bald. he was glowing more than edward in twilight. what's your megamind head skin care routine, elvis boy"", ""austin butler is so bald. i've never seen anyone be so bald in my life. so moisturised and bald. he was glowing more than edward in twilight. what's your megamind head skin care routine, elvis boy"", ""austin butler is so bald. i've never seen anyone be so bald in my life. so moisturised and bald. he was glowing more than edward in twilight. what's your megamind head skin care routine, elvis boy""]"
109,108,25,108_oldboy_revenge_daesu_disturbing,"['oldboy', 'revenge', 'daesu', 'disturbing', 'dish', 'squirming', 'hammer', 'beast', 'weep', 'vengeance']","['The tale is about two men, both of whom are seeking revenge! But whose revenge will be that much sweeter that of the tormented or that of the tormenter!When it came to picking the film with the most surprising twist ever Oldboy won hands down! With The crying game coming in at the #2 spot!Oldboy is known widely for the infamous octopus scene and for the glorious hammer fight scene in the hallway! But it has also earned…', ""Arguably Park's best vengeance delivery as we see a pathetic individual being forced to a psychological transformation through dramatic altercations, melodramatic juxtapositions and, mostly, betrayal. Uncertainty and revenge are just the main dish of this masterpiece. Oldboy popularized this branch of filmmaking. Either people love it or hate it; strangely, there are no grey tones concerning people's taste. We'll see if the general opinion changes in the decades to come.96/100"", ""Arguably Park's best vengeance delivery as we see a pathetic individual being forced to a psychological transformation through dramatic altercations, melodramatic juxtapositions and, mostly, betrayal. Uncertainty and revenge are just the main dish of this masterpiece. Oldboy popularized this branch of filmmaking. Either people love it or hate it; strangely, there are no grey tones concerning people's taste. We'll see if the general opinion changes in the decades to come.96/100""]"
110,109,24,109_dan_ini_yang_tapi,"['dan', 'ini', 'yang', 'tapi', 'menjadi', 'dari', 'dengan', 'nonton', 'juga', 'aku']","['Tidak ada yang bisa mengalahkan Robert Bresson dalam hal pemraktikan gaya penyutradaraan minimalis dalam sebuah film. Film ini adalah bukti yang membenarkan akan hal itu. Menurutku, film ini adalah film dengan gaya minimalis terbaik yang pernah dibuat. Saya benar-benar kehabisan kata-kata untuk mengungkapkan betapa jeniusnya Robert Bresson dalam membuat film ini. Saya juga sudah kehabisan kata-kata untuk menjelaskan secara detail satu persatu akan kehebatan film ini. Yang jelas, pokoknya ini adalah film dengan gaya minimalis terbaik yang pernah ada. Jadi,…', ""Film bertemakan tragedi Holocaust ini sangat berbeda dengan yang lainnya, biasanya kalau liat film tentang tragedi Holocaust, kebanyakannya sepanjang film akan dibuat depresi dan ngeri, suasananya juga dibikin sangat kelam dan tragis, semisal Schindler's List, The Pianist, dll. Tapi yang satu ini sangat berbeda, suasananya penuh ria dan canda layaknya film komedi, tapi walau begitu rasa sedih dan ngeri akan tragedi Holocaust masih bisa dirasakan, jadi pokoknya sepanjang film akan dibikin antara ngakak dan tersentuh dengan sedih, walau lebih banyak ngakaknya, endingnya juga dari satu sisi sad ending, dari sisi lain happy ending."", 'Bercerita tentang Akira, si anak sulung yang harus menjadi kepala keluarga dengan merawat dan menjaga ketiga adiknya karena ditinggal ibunya yang tiba-tiba pergi begitu saja (di pertengahan film baru terkuak jika si ibu menikah lagi dengan orang lain). Akira dan ketiga adiknya ini bukanlah saudara kandung, mereka hanya berbagi keturunan darah dari sang ibu dan masing-masing dari mereka memiliki ayah yang berbeda-beda.Nobody Knows merupakan film Tearjerker. Kita akan diperlihatkan sebuah portrait keluarga yang ditelantarkan orang tuanya dan survive dalam…']"
111,110,24,110_ballet_technicolor_dancewhy_sequence,"['ballet', 'technicolor', 'dancewhy', 'sequence', 'mustthats', 'livewell', 'tooi', 'want', 'impressionistic', '1948']","['why do you want to dance?why do you want to live?that technicolor cinematography and ballet sequence are one of my new favorite things ever 🎀🧡', 'why do you want to dance?why do you want to live?that technicolor cinematography and ballet sequence are one of my new favorite things ever 🎀🧡', 'why do you want to dance?why do you want to live?that technicolor cinematography and ballet sequence are one of my new favorite things ever 🎀🧡']"
112,111,24,111_cinema_innerbeing_images_sequenced,"['cinema', 'innerbeing', 'images', 'sequenced', 'communal', 'tickets', 'fractured', 'asked', 'gives', 'feelings']","[""Last year I inadvertently started a tradition that I wanted to honor now: for my final film of the year, I selected one that acts as both a testamenttothe power of cinema and a celebrationofthe multifaceted importance this unique form of storytelling wedded to moving images holds for us on an individual, communal, and even sociopolitical level.For me,City of GodistheGOAT film. It's the unequaled, undisputed, pinnacle of “lightning in a bottle”…"", '10,000 Followers CelebrationThe magic of the movies.Cinema Paradisomay be sentimental, but it is incredibly heartfelt and made with a genuine love for cinema. It is not just a tribute to cinema, but a tribute to the love of cinema. It is about how cinema connects us to our feelings and our memories. It is about the power of stories to shape our lives and guide us forward. Cinema here is a communal experience, centering on the days…', ""cinema is an artform of constructive dramatization, fake ruses to conjure up emotions and ideas in our minds and hearts. celluloid is a canvas for tapestries of images fractured and sequenced out of true reality, but though the images are artificial, the emotions felt are anything but. and that's because the images are personally fractured and sequenced by....us. humans. we are a kind that want to express and fantasize, and art gives us an outlet to project the ideas and…""]"
113,112,24,112_angry_12_men1_glasses,"['angry', '12', 'men1', 'glasses', 'men', 'mr', 'edition1', 'cereal', 'angryand', 'chair2']","['tag yourself, 12 Angry Men edition:1. MR BRIGHT IDEAS: good looking and definitely knows it, wears glasses just for show, probably thinks his looks are too much for the ladiez and the glasses will give them room to breathe, practically invented cereal, likes to put his dick in your face with his leg up on the chair2. MR I CAN CHANGE THE WORLD: always goin against the crowd, only listens to synthpop and michael jackson, hates chocolate, probably…', 'tag yourself, 12 Angry Men edition:1. MR BRIGHT IDEAS: good looking and definitely knows it, wears glasses just for show, probably thinks his looks are too much for the ladiez and the glasses will give them room to breathe, practically invented cereal, likes to put his dick in your face with his leg up on the chair2. MR I CAN CHANGE THE WORLD: always goin against the crowd, only listens to synthpop and michael jackson, hates chocolate, probably…', 'tag yourself, 12 Angry Men edition:1. MR BRIGHT IDEAS: good looking and definitely knows it, wears glasses just for show, probably thinks his looks are too much for the ladiez and the glasses will give them room to breathe, practically invented cereal, likes to put his dick in your face with his leg up on the chair2. MR I CAN CHANGE THE WORLD: always goin against the crowd, only listens to synthpop and michael jackson, hates chocolate, probably…']"
114,113,23,113_joker_batman_agent_awesome,"['joker', 'batman', 'agent', 'awesome', 'chaos', 'phone', 'physical', 'humanshaped', 'gravityall', 'gobatman']","['We really lost a generational talent in Heath Ledger way too soon 💔Had to wash out the cilantro-esque taste ofJoker Folie À Deux’s portrayal of joker with some peak. This is the best live-action joker film we’ve gotten and it’s simply because it truly understands Joker as the physical embodiment of chaos.“Madness is like gravity…all it takes is a little push”in this one line of dialogue they were able to accomplish more than the two Todd Phillips Joker films. Every glance, mannerism and line of dialogue is picture perfect. It’s not about the money…it’s about sending a message…everything burns.', 'We really lost a generational talent in Heath Ledger way too soon 💔Had to wash out the cilantro-esque taste ofJoker Folie À Deux’s portrayal of joker with some peak. This is the best live-action joker film we’ve gotten and it’s simply because it truly understands Joker as the physical embodiment of chaos.“Madness is like gravity…all it takes is a little push”in this one line of dialogue they were able to accomplish more than the two Todd Phillips Joker films. Every glance, mannerism and line of dialogue is picture perfect. It’s not about the money…it’s about sending a message…everything burns.', 'We really lost a generational talent in Heath Ledger way too soon 💔Had to wash out the cilantro-esque taste ofJoker Folie À Deux’s portrayal of joker with some peak. This is the best live-action joker film we’ve gotten and it’s simply because it truly understands Joker as the physical embodiment of chaos.“Madness is like gravity…all it takes is a little push”in this one line of dialogue they were able to accomplish more than the two Todd Phillips Joker films. Every glance, mannerism and line of dialogue is picture perfect. It’s not about the money…it’s about sending a message…everything burns.']"
115,114,23,114_seventh_seal_death_skarsgrd,"['seventh', 'seal', 'death', 'skarsgrd', 'stellan', 'whale', 'bergman', 'knight', 'block', 'chess']","[""8/10Shoutout to @lwthomas for the recommendation.Yesterday, I watched The Seventh Seal. Once the movie ended, I wasn't sure on what score to give it. The range of possible scores was 4/10 to 8/10. It's a good thing that I watched it again, so that I can properly give it an 8/10.The dialogue is poetic and existentialist. It has a good flow when spoken, especially when it's spoken from Max Von Sydow's deep Swedish accent. The Seventh Seal…"", 'It was great to watch one of my all time favorite movies again. The Seventh Seal directed by Ingmar Bergman practically defined art-house cinema in the United States when it was first shown theatrically. The Seventh Seal is one of the most influential films of all time, and its not hard to see why. After coming back in utter exhaustion from the Crusades to discover a medieval Sweden in the grips of the Plague, a knight (played by Max von…', ""The Seventh Seal shines as a commentary on mortality, and shines even more as simply a period comedy that stands out among Bergman's filmography.Crippled by his own ever mounting fear of death, Bergman wrote the story about a knight's encounters with Death during a plague in response. In comparison, The Seventh Seal is probably Bergman's most accessible work, due to its purposefully light and comedic tone, which is clearly an attempt to counterbalance Bergman's own existential crisis, and partly…""]"
116,115,23,115_stalker_zone_arkady_science,"['stalker', 'zone', 'arkady', 'science', 'picnic', 'scifi', 'tarkovsky', 'tarkovskys', 'analysis', 'faith']","['StalkerBased on the novel Roadside Picnic by Arkady and Boris Strugatsky, Stalker was initially Tarkovsky’s attempt to achieve the classic Aristotelian unity of time, place and action. Departing radically from its source material, the resulting film explores the topic of faith, in order to explore the phenomenon of persistent disbelief.A year into the filming, the crew discovered that all of the film had been improperly developed. The footage (on which Tarkovsky had toiled to achieve the Aristotelian Unity)…', 'I know this will not be a popular opinion, but I did not like this film.I found it a crushingly ponderous existential meditation.The film\'s plot is about a man who is a ""stalker"". This means that he is a bit of a tour guide to a location or realm called ""the zone"". The Zone is explained in the film, but only vaugely. We know it is supposed to be a place where wishes come true. The stalker is…', ""With Stalker, director Andrei Tarkovsky utilises a fairly basic science fiction concept and uses it as a jumping off point for a deep and introspective look into philosophy, humanity and faith. We follow three men on a journey through The Zone in a quest to find 'The Room', a place which can grant their innermost desires. The film depicts a world of sorrow and unhappiness; populated by characters driven by hope and motivated by feelings that they are doing the…""]"
117,116,23,116_park_chanwook_korean_parks,"['park', 'chanwook', 'korean', 'parks', 'chanwooks', 'award', 'understanding', 'won', 'fearlessly', 'yoo']","['As with all of Park Chan-wook’s films, the masterly technique is a recommendation in and of itself. The camera glides across stunning photographs, formulating beautiful compositions of hideous cruelty.But there is always a tender sympathy in how Chan-wook views his monsters. His lens conveys an understanding of the ugliness of humanity and with that understanding comes pity, yes, but not condemnation.', ""Based on the manga of the same name, written by Garon Tsuchiya and illustrated by Nobuaki Minegishi, this co-written and directed movie by Park Chan-wook deservedly won the Grand Prix award at the 2004 Cannes Film Festival. The remarkable central performances from Choi Min-sik, Yoo Ji-tae and Kang Hye-jung ensure the momentum of the narrative never becomes stationary, and the film’s captured engagingly. So much ofOldboyis outstanding, and there's little disputing it's significance as one of Asian cinema’s most extraordinary accomplishments."", ""Based on the manga of the same name, written by Garon Tsuchiya and illustrated by Nobuaki Minegishi, this co-written and directed movie by Park Chan-wook deservedly won the Grand Prix award at the 2004 Cannes Film Festival. The remarkable central performances from Choi Min-sik, Yoo Ji-tae and Kang Hye-jung ensure the momentum of the narrative never becomes stationary, and the film’s captured engagingly. So much ofOldboyis outstanding, and there's little disputing it's significance as one of Asian cinema’s most extraordinary accomplishments.""]"
118,117,23,117_prosecution_witness_courtroom_prosecutionis,"['prosecution', 'witness', 'courtroom', 'prosecutionis', 'wilder', 'laughton', 'charles', 'billy', 'wilders', 'drama']","['I love courtroom dramas and “Witness for the Prosecution” has to be one of the greatest I have ever seen. It also is the best Agatha Christie adaptation of all time.“Witness for the Prosecution” is entertaining, suspenseful, and captivating from start to finish. It also is full of charm, wit, and excellent dry humor. I laughed quite a lot. The film is masterfully crafted and directed and has a brilliant script, razor-sharp dialogs, memorable characters, fantastic performances, great camerawork,…', 'With ""Witness for the Prosecution,"" Billy Wilder balances whimsy with cynicism for a film that seemingly draws from both his experiences with comedy and with noir. A courtroom drama that observes the layered subterfuge present in a murder trial, Wilder delivers a mysterious, dark gem that boasts scenes of humor and warmth of character.Focusing on the players involved in a murder trial, ""Witness for the Prosecution"" observes both the characters and arguments that drive the courtroom machine. At times…', 'Witness for the Prosecution is part of an elite category of courtroom dramas, a category that has the word ""best"" in its description. And like every great courtroom drama, Witness for the Prosecution is different and brings something unique to the table. That something is Sir Wilfrid Robarts (Charles Laughton), an unexpectedly peculiar character of remarkable intelligence, equipped with disarming frankness, sharp sense of humor and unconvincingly concealed kindness. An experienced and successful barrister with a real passion for his…']"
119,118,22,118_murder_zodiac_memories_korean,"['murder', 'zodiac', 'memories', 'korean', 'finchers', 'detectives', 'south', 'serial', 'bong', 'david']","[""If you love David Fincher's ZODIAC, and you wish there were more cop films like David Fincher's ZODIAC, and you haven't seen MEMORIES OF MURDER, you should see MEMORIES OF MURDER."", '2003\'s South Korean crime drama, co-written and directed by Bong Joon-ho, Memories of Murder (살인의 추억), starring Kang-ho Song, Kim Sang-kyung, Roe-ha Kim and Park Hae-il, follows two detectives in 1986 as they struggle with the case of multiple young women being found raped and murdered by an unknown culprit in a small Korean province.David Fincher saw this and said, ""It\'s great, but can we make it American?"", sorry Fincher ""Zodiac"" is great...but Memories of Murder is better.There\'s…', 'Criterion Collection Spine #1073(Foreign language film - Korean)A series of crimes become so tragically inevitable that they demand immediate justice, but a team of Korean detectives come to learn you can\'t force the truth no matter how bad you want it.""What kind of detective sleeps well?""I once heard Memories of Murder described as the Korean version of David Fincher\'s \'Zodiac\', and that comparison is pretty much spot on. But maybe that should be reversed since Memories…']"
120,119,22,119_superhero_marvel_july_barbieheimerthere,"['superhero', 'marvel', 'july', 'barbieheimerthere', 'ranked1010', 'fancomicsuperhero', 'mia', 'mammahistory', 'mamma', 'barbie']","['Before Barbie and Oppenheimer were on the same day of July 21, 2023 as known “Barbieheimer”.There was July 18, 2008: The Dark Knight and Mamma Mia were both released on the same day, I like to call it “The Dark Mamma”.History repeats itself.', 'Before Barbie and Oppenheimer were on the same day of July 21, 2023 as known “Barbieheimer”.There was July 18, 2008: The Dark Knight and Mamma Mia were both released on the same day, I like to call it “The Dark Mamma”.History repeats itself.', 'Before Barbie and Oppenheimer were on the same day of July 21, 2023 as known “Barbieheimer”.There was July 18, 2008: The Dark Knight and Mamma Mia were both released on the same day, I like to call it “The Dark Mamma”.History repeats itself.']"
121,120,21,120_wilder_agatha_billy_christie,"['wilder', 'agatha', 'billy', 'christie', 'laughton', 'charles', 'tyrone', 'wilfrid', 'barrister', 'dietrich']","['Billy Wilder was such a treat, always leaving you hanging on every word waiting for what’s to come next. Charles Laughton is a force as Sir Wilfrid and I genuinely would love nothing more than to watch a series of films dedicated to him tackling the next big murder case. For how much Billy Wilder was obsessed withSherlock Holmes,you can really feel his passion and intrigue into this Agatha Christie adaptation.Thematically rich as ever, but the ending may have just been one twist too many for me to elevate this into my top tier Wilder ranks.', ""Based on an Agatha Christie play with a masterful screenplay written by Larry Marcus, Harry Kurnitz and the director Billy Wilder himself. To anyone that's seen even one of Wilder's most acclaimed films you already known how impressively written and directed his films are. This has now replaced even The Apartment in my Top 5 Billy Wilder films, it has a solid cast including Tyrone Power, Marlene Dietrich and Charles Laughton with everyone doing extremely well in their roles but…"", 'Irascible barrister Sir Wilfred Robards (Charles Laughton), ignoring his doctors’ advice after a massive heart attack, decides to defend Leonard Vole (Tyrone Power), a man accused of murdering a wealthy widow, but the case is put at risk when Vole’s mysterious wife Christine (Marlene Dietrich) enters the picture, in Billy Wilder’s legal thriller based on Agatha Christie’s play and co-starring Elsa Lanchester, Torin Thatcher and John Williams.It’s incredibly well done, with Wilder’s trademark wit and darker touches effortlessly blending…']"
122,121,21,121_courtroom_gripped_court_writing,"['courtroom', 'gripped', 'court', 'writing', 'filmstv', '1330recommendationbysidneyone', 'jerking', 'freethinking', 'centurywhat', 'lumetpollack']","['One of the greatest classic courtroom drama of all time. For a single location movie, there is no one dull moment whatsoever. The plot is flawlessly tight, crisply detailed, perfectly paced and neatly performed, keeping one gripped all through its 95 minutes with solid twists n turns. Sidney Lumet makes a fantastic debut with a masterpiece. Must Watch.', 'One of the greatest classic courtroom drama of all time. For a single location movie, there is no one dull moment whatsoever. The plot is flawlessly tight, crisply detailed, perfectly paced and neatly performed, keeping one gripped all through its 95 minutes with solid twists n turns. Sidney Lumet makes a fantastic debut with a masterpiece. Must Watch.', 'One of the greatest classic courtroom drama of all time. For a single location movie, there is no one dull moment whatsoever. The plot is flawlessly tight, crisply detailed, perfectly paced and neatly performed, keeping one gripped all through its 95 minutes with solid twists n turns. Sidney Lumet makes a fantastic debut with a masterpiece. Must Watch.']"
123,122,20,122_bergman_hour_alexander_tv,"['bergman', 'hour', 'alexander', 'tv', 'feature', '312', 'watched', 'episodes', 'minutes', 'version']","['This is a review of the5-hour television cutofFanny and Alexander. Yep, I watched all312 minutesof the film and it was totally worth it!Just from the first act ofIngmar Bergman’s desired-to-be final feature, we are already conferred with a hysterically hefty juxtaposition between the inquisitive youth, the hectic middle-aged, and the strung-up elderly. The voluminous opening presents an epic-long dissection of an enormous early-1900s family of wives, husbands, grandmas, aunts, uncles, nephews, nieces, sons,…', ""Epic Bergman. I watched the 'short' 3 hour version as opposed to the 5 hour TV Miniseries. Not Bergman's best, but a must for any cinephile. Neither of the titular characters really feature in the first hour, which is just character building and scene setting, it's the final 90 minutes that really packs the punch with the usual Bergman sub themes of guilt, grief, conflict playing major roles.The segment where the children realise the horror of being kept in a nightmarish abusive home is brilliant directing. A great Christmas film.7.8/10"", ""Epic Bergman. I watched the 'short' 3 hour version as opposed to the 5 hour TV Miniseries. Not Bergman's best, but a must for any cinephile. Neither of the titular characters really feature in the first hour, which is just character building and scene setting, it's the final 90 minutes that really packs the punch with the usual Bergman sub themes of guilt, grief, conflict playing major roles.The segment where the children realise the horror of being kept in a nightmarish abusive home is brilliant directing. A great Christmas film.7.8/10""]"
124,123,20,123_christmas_glimpses_boomers_dinner,"['christmas', 'glimpses', 'boomers', 'dinner', 'matriarch', 'abide', 'august', 'folks', 'sprawl', 'ya']","['A room full of boomers yelling at each other, just like Christmas dinner with the folks.', 'At the Christmas party that more or less opens this film, there is a feeling of almost infinite sprawl as the camera wanders the home of the matriarch of the Ekdahl family. You get glimpses of many of the characters that will compose this film, you get glimpses of the massive manor the first part of this film takes place in, and you get glimpses of the intricacies of the emotional connections that abide in this place. Because it is…', 'At the Christmas party that more or less opens this film, there is a feeling of almost infinite sprawl as the camera wanders the home of the matriarch of the Ekdahl family. You get glimpses of many of the characters that will compose this film, you get glimpses of the massive manor the first part of this film takes place in, and you get glimpses of the intricacies of the emotional connections that abide in this place. Because it is…']"
125,124,20,124_connell_marianne_irish_connells,"['connell', 'marianne', 'irish', 'connells', 'dublin', 'college', 'irishman', 'silver', 'year', 'primeera']","['As good asScenes from a Marriage. Heartbreaking, as someone who is mostly hit hardest in the emotional spot by novels I can vouch that this is the most personal affection I\'ve had since reading ""Killing Commendatore"" or The Rememberance of Earth\'s Past Quadrilogy last year. Connell and Marianne effectively live in me now. Reminscent to the His Dark Materials Trilogy in a way.The best thing I\'ve seen all year. Currently on Hulu.', 'when i started college last year, i was positive i’d be a marianne, i’m a connell \U0001f972', 'My life is essentially meaningless not knowing anything else about Connell and Marianne.']"
126,125,19,125_kdrama_reply_1988_friendship,"['kdrama', 'reply', '1988', 'friendship', 'kdramas', 'slice', 'neighborhood', 'drama', 'comfort', 'shin']","[""korean 🇰🇷OMG!!! NOT SURE WHY THIS IS ON LETTERBOXD BUT THIS HAS BEEN MYULTIMATE FAVOURITE KDRAMAFOR ALL MY LIFE (and i've watched over 300++ kdramas so that says smth i think)this kdrama gets friendship and family sooo well. you feel for every single character. and i don't even mean just the 5 main ensemble cast!! even their parents, their siblings and their friends, you can see how much thought there is put into developing the characters.…"", 'YEEEESSSSS HOLY FUCKING SHIT NOW ITS ON LETTERBOXD!!!!! GUYS IM WRITING THIS IN 5:08 AM IN MY BED STRUGGLING TO TYPE BCS OMFG I CAN NOT WAIT TO WRITE A REVIEW OF THIS ANY LONGER OKAY SO HERE IT GOES SHDGDHAHSHGUYS YOU DONT UBDERSTAND BUT REPLY 1988 IS THE BEST KDRAMA I HAVE EVER SEEN AND I HAVE NEVER FELT SO ALIVE THESE PAST FEW MONTHS AFTER I HAVE FINISHED BINGE WATCHING ALL 30 HOURS OF THIS FUCKING SHOW…', 'A Heartwarming Journey of Love, Friendship, and Nostalgia – Reply 1988.The magnificent experience of watching""Reply 1988.""This drama is an absolute gem that invites us into the simple, yet heartwarming lives of five families who live in the Ssangmun-dong neighborhood of Seoul. It is a beautiful tale that weaves together themes of community, love, happiness, friendship, and the unwavering support of neighbors which truly make Reply 1988 an emotional roller coaster that leaves you wanting more.This series…']"
127,126,19,126_incendies_twins_civil_villeneuves,"['incendies', 'twins', 'civil', 'villeneuves', 'familys', 'uncover', 'radiohead', 'mystery', 'incendiesis', 'uncovering']","[""Incendies manages to tackle war, grief, the indomitable human spirit, and family by taking the viewer on a journey across the world through the span of 3 decades to uncover a family's complicated past.Nawal Marwan's death is just the beginning of this family's story as her dying wish is for her twins Simon and Jeanne to track down their family history and lineage in the war-torn middle east.Harsh landscapes, haunting images, and an excruciating history slowly combine to…"", 'One of the finest films of Denis Villeneuve, Incendies is powerful, haunting and emotionally devastating. The story strongly conveys the dehumanization due to religion, civil war, the horror of genocide annihilating the lives of innocent and dismantling the alive forever. The movie tells the story of a middle eastern woman in Canada, Nawal, through the eyes of her twins who travel to the Middle East separately, where they each experience acts of brutality, uncover a startling family history, and have…', 'There’s before you watch Incendies and then there’s after.']"
128,127,19,127_indonesian_indonesia_killing_killings,"['indonesian', 'indonesia', 'killing', 'killings', 'squad', 'documentary', 'gangsters', 'squads', 'indonesians', '1960s']","['Between 1965 and 1966, large-scale massacres and civil turmoil ensued in Indonesia, resulting in published estimates between 500,000 to more than one million men, women and children being slaughtered by members of death squads commissioned to clear the country of communists.The Act of Killing sees director Joshua Oppenheimer given unprecedented autonomy with the criminals and self-styled gangsters that were given full authority to extort information from innocent people before dispatching them in numerous horrific methods. Their openness and straightforwardness are…', ""ForKyle DickOne of the most grueling and horrifying events to come from human history were the Indonesian mass killings of 1965/1966, an end result of a failed coup d'état that convinced the Indonesian government that there needed to be an investigation and purge of those who may lean towards subversive communist ways. The death count has its variances, but the range is typically between half a million to 3 million lives lost because of this event, conveniently skipped…"", ""(Extended cut)Very disturbing documentary about the Indonesian massacres of the 60s. The documentary follows Indonesian gangsters who carried out these killings, and is 99% hands off, show don't tell (which I love with documentaries, feels more fly on the wall). These are horrible people, rationalizing killing, but also coming to terms with the atrocities each committed in a way. There's a layer of pride that is slowly broken down as the documentary goes on. The documentary looks gorgeous, with…""]"
129,128,19,128_carpenter_john_carpenters_effects,"['carpenter', 'john', 'carpenters', 'effects', 'thingis', 'thing', 'horror', 'creature', 'trust', 'paranoia']","[""Classic cosmic horror from John Carpenter, taking obvious influence from Lovecraft. The Thing relies on a simple basic premise - a group of people battle an unknown alien creature in an isolated location. The concept of The Thing itself is paramount. It could be anyone, humans become just the meat - insignificant in the face of insurmountable horror with unimaginable intentions. Carpenter really ramps up the paranoia, with the group's own fear and suspicions of each other providing the backbone…"", 'Top 3 horrors of all time for me. John carpenter is a genius.', ""100/100A chill-inducing, hair-raising, brain-splattering, and blisteringly paranoiac horror film of shivery delights and terrifying concepts. The creature effects are second-to-none in their horrific detail, raising every stake of the human drama and slowly escalating the oppressive and icy atmosphere. Along with master DP Dean Cundey, John Carpenter crafts excruciatingly tense and spellbinding imagery, fueled by the mistrust and the frantic burst of flares. The 80s synthesizers and the prevalent blues of the color palette combine into a visual stunner, easily Carpenter's finest in that regard. Even with its creature-feature roots, John Carpenter'sThe Thingmutates into something much more melancholic and human.""]"
130,129,19,129_chess_death_play_sisters,"['chess', 'death', 'play', 'sisters', 'game', 'moreincest', 'guysleeps', 'sisterand', 'antonius', 'oddly']","['I would quite happily sit down and watch an extended bonus feature where Antonius Block and Death do little more than play a protracted game of chess, exchange the odd quip, and ponder the meaning of life.', 'This movie hits me right where I live in terms of subject matter: the inevitable horror of death and the essential unknowability of god, and some of the imagery, like the train of flagellates, especially that closing shot of the train of shackled, doomed pilgrims being led by to their demise, is striking and memorably. Unfortunately, the arch style and overtly symbolic trappings (Max Von Sydow really does play a chess match against Death, who does, indeed, wear a big-ass…', 'On his return from the Crusades, in medieval Europe immersed in chaos and ravaged by the Plague, a knight is confronted by Death and challenges it to a game of chess. In search of prolonging his inevitable destiny, Antonius Block undertakes a journey in which he tries to come to terms with his own mortality and discern the meaning of life. Little by little he will be joined by a series of characters that constitute a rich and clear mosaic…']"
131,130,18,130_martyr_floundering_insatiable_scarlet,"['martyr', 'floundering', 'insatiable', 'scarlet', 'acuity', 'ostentatious', 'coveting', 'normalcy', 'fastidious', 'intrinsically']","['The sheer ecstacy of orchestration. To dance, a conflict between motion and emotion. The sustenance of glory, an insatiable life for the coveting. Every step succeeds a striking conviction, a distinction to discern and become that of envy in ubiquity. A celestial reverberation as talent ricochets in perfection within a realm of ostentatious hostility. The floundering of acuity in normalcy as a martyr to thrive her fastidious practice. Her persona becomes intrinsically woven into the scarlet threads of shoe. In…', 'The sheer ecstacy of orchestration. To dance, a conflict between motion and emotion. The sustenance of glory, an insatiable life for the coveting. Every step succeeds a striking conviction, a distinction to discern and become that of envy in ubiquity. A celestial reverberation as talent ricochets in perfection within a realm of ostentatious hostility. The floundering of acuity in normalcy as a martyr to thrive her fastidious practice. Her persona becomes intrinsically woven into the scarlet threads of shoe. In…', 'The sheer ecstacy of orchestration. To dance, a conflict between motion and emotion. The sustenance of glory, an insatiable life for the coveting. Every step succeeds a striking conviction, a distinction to discern and become that of envy in ubiquity. A celestial reverberation as talent ricochets in perfection within a realm of ostentatious hostility. The floundering of acuity in normalcy as a martyr to thrive her fastidious practice. Her persona becomes intrinsically woven into the scarlet threads of shoe. In…']"
